,Performance
0,3
1,1
2,2
3,2
4,3
5,3
6,1
7,3
8,0
9,2
10,2
11,3
12,1
13,1
14,0
15,0
16,0
17,2
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,0
26,0
27,1
28,0
29,1
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,2
50,1
51,1
52,0
53,2
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,3
66,2
67,2
68,0
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,1
100,3
101,3
102,1
103,2
104,2
105,0
106,0
107,2
108,3
109,1
110,3
111,2
112,0
113,3
114,0
115,0
116,0
117,2
118,1
119,2
120,0
121,2
122,1
123,0
124,3
125,2
126,1
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,3
174,1
175,3
176,1
177,1
178,0
179,1
180,3
181,1
182,0
183,1
184,1
185,3
186,0
187,3
188,0
189,1
190,1
191,3
192,3
193,3
194,3
195,1
196,3
197,1
198,3
199,3
200,1
201,2
202,3
203,1
204,3
205,1
206,2
207,2
208,1
209,1
210,1
211,3
212,2
213,3
214,1
215,3
216,1
217,0
218,1
219,3
220,2
221,3
222,1
223,3
224,2
225,3
226,3
227,3
228,1
229,1
230,2
231,2
232,2
233,0
234,2
235,2
236,3
237,1
238,2
239,1
240,2
241,0
242,0
243,1
244,3
245,1
246,2
247,3
248,3
249,3
250,1
251,2
252,2
253,3
254,3
255,1
256,0
257,1
258,1
259,1
260,3
261,3
262,1
263,3
264,3
265,1
266,1
267,1
268,1
269,3
270,1
271,1
272,3
273,3
274,1
275,1
276,3
277,3
278,1
279,1
280,3
281,2
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,1
290,3
291,0
292,0
293,3
294,3
295,3
296,2
297,1
298,1
299,1
300,1
301,3
302,3
303,0
304,2
305,2
306,3
307,1
308,1
309,1
310,3
311,3
312,3
313,1
314,1
315,1
316,1
317,1
318,2
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,2
327,2
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,2
340,2
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,3
360,3
361,3
362,0
363,0
364,0
365,1
366,1
367,0
368,3
369,0
370,1
371,1
372,2
373,0
374,2
375,2
376,0
377,3
378,3
379,1
380,0
381,2
382,2
383,3
384,0
385,3
386,1
387,2
388,0
389,1
390,1
391,1
392,0
393,1
394,2
395,2
396,3
397,3
398,0
399,3
400,0
401,0
402,1
403,0
404,3
405,2
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3
420,2
421,1
422,2
423,3
424,3
425,3
426,1
427,0
428,1
429,3
430,3
431,3
432,1
433,3
434,1
435,3
436,3
437,2
438,3
439,3
440,2
441,2
442,2
443,3
444,3
445,1
446,2
447,0
448,3
449,1
450,3
451,0
452,1
453,1
454,3
455,3
456,3
457,2
458,3
459,1
460,0
461,1
462,2
463,2
464,1
465,3
466,0
467,1
468,3
469,3
470,1
471,1
472,0
473,1
474,0
475,3
476,3
477,3
478,2
479,3
480,1
481,3
482,3
483,1
484,3
485,3
486,3
487,2
488,1
489,3
490,3
491,1
492,1
493,0
494,1
495,0
496,3
497,3
498,2
499,3
500,1
501,3
502,3
503,0
504,0
505,2
506,1
507,1
508,0
509,1
510,2
511,2
512,3
513,3
514,1
515,3
516,3
517,3
518,0
519,3
520,3
521,3
522,3
523,2
524,0
525,3
526,3
527,2
528,3
529,3
530,3
531,3
532,3
533,1
534,1
535,0
536,2
537,2
538,3
539,2
540,1
541,3
542,3
543,3
544,0
545,3
546,2
547,3
548,1
549,1
550,2
551,2
552,3
553,0
554,0
555,2
556,3
557,0
558,2
559,2
560,2
561,3
562,0
563,0
564,3
565,1
566,3
567,3
568,3
569,2
570,0
571,3
572,3
573,3
574,3
575,0
576,2
577,0
578,0
579,0
580,3
581,3
582,2
583,0
584,3
585,1
586,0
587,2
588,2
589,0
590,3
591,1
592,3
593,2
594,3
595,1
596,1
597,1
598,1
599,2
600,2
601,3
602,2
603,3
604,3
605,3
606,2
607,0
608,1
609,3
610,1
611,1
612,3
613,1
614,1
615,1
616,2
617,0
618,0
619,3
620,3
621,0
622,0
623,0
624,1
625,0
626,3
627,3
628,1
629,3
630,1
631,3
632,1
633,1
634,2
635,1
636,0
637,1
638,0
639,1
640,1
641,3
642,0
643,1
644,2
645,0
646,0
647,1
648,1
649,2
650,1
651,0
652,2
653,1
654,3
655,3
656,2
657,0
658,1
659,1
660,2
661,3
662,1
663,0
664,3
665,0
666,1
667,1
668,3
669,3
670,2
671,3
672,2
673,3
674,1
675,0
676,0
677,0
678,0
679,2
680,3
681,3
682,1
683,1
684,1
685,1
686,0
687,1
688,3
689,2
690,1
691,1
692,2
693,0
694,3
695,1
696,3
697,3
698,1
699,3
700,3
701,3
702,1
703,3
704,3
705,3
706,3
707,2
708,1
709,3
710,1
711,1
